,리쿠르팅 현황_CN8 런칭클리닉,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,no.,성별,나이,현 보유차,"보유차 
엔진타입",결혼여부,자녀 수,직업,"최종 비교차 
브랜드","최종 비교차 
모델",그룹 구분,그룹 구분 상세,"구매희망 
엔진타입 1순위","구매희망 
엔진타입 2순위","향후 구매 의향 
전기차 1순위 브랜드","향후 구매 의향 
전기차 1순위 모델","향후 구매 의향 
전기차 2순위 브랜드","향후 구매 의향 
전기차 2순위 모델","복수 보유차 
,348,남,47,아반떼,가솔린,기혼 유자녀(8세~18세 이하),2,자영업,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),가솔린,HEV,,,,,제네시스GV80
,350,남,60,티볼리,디젤,기혼(성인 자녀),3,자영업,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,없음
,351,남,61,스포티지,가솔린,기혼(성인 자녀),2,교육직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),가솔린,HEV,,,,,말리부
,352,남,57,아반떼,가솔린,기혼(성인 자녀),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,,,,,,없음
,353,남,38,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,
,355,여,41,셀토스,가솔린,미혼,_,공무원,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),가솔린,HEV,,,,,없음
,356,남,54,투싼,가솔린,기혼 유자녀(8세~18세 이하),1,자영업,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),가솔린,HEV,기아,EV3,기아,EV6,K7
,357,남,51,K5,가솔린,미혼,_,은퇴,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,없음
,358,남,51,쏘나타,가솔린,기혼 유자녀(8세~18세 이하),1,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,EV,기아,EV3,현대 ,아이오닉5,없음
,359,남,33,셀토스,가솔린,기혼 무자녀,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,EV,BYD,돌핀,테슬라,모델 3,없음
,360,남,39,코나,HEV,미혼,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,PHEV,,,,,그랑콜레오스
,361,남,32,K5,가솔린,미혼,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),가솔린 ,LPG,,,,,없음
,362,남,44,쏘나타,가솔린,미혼,_,"사무직
(국방부기술연구원)",현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),가솔린 ,HEV,,,,,SM3
,363,여,34,티볼리,가솔린,기혼 유자녀(7세 이하),1,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),HEV,EV,테슬라,모델 3,기아,EV3,없음
,364,남,49,아반떼,,미혼,_,공무원,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,EV,현대,아이오닉6,현대 ,아이오닉5,없음
,365,남,35,아반떼,,기혼 무자녀,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),EV,가솔린,테슬라,모델 3,,,
,366,남,34,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),가솔린,HEV,,,,,쏘렌토
,367,여,32,없음,_,기혼 유자녀(7세 이하),1,전업주부,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린,EV,,,,,없음
,368,남,50,쏘나타,가솔린,기혼(성인 자녀),2,사무직,현대 ,아반떼,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,스포티지
,369,여,56,쏘나타,가솔린,기혼 유자녀(8세~18세 이하),3,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,기아,EV3,현대 ,아이오닉,QM6
,370,여,52,K5, HEV,기혼(성인 자녀),1,사무직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),가솔린,HEV,테슬라,모델 3,,,없음
,371,여,27,코나,가솔린,미혼,_,유치원교사,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),가솔린,EV,기아,EV3,,,없음
,372,남,31,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),HEV,EV,BYD,씰,,,스파크
,373,남,46,코나,가솔린,미혼,_,전문직(작곡),현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),EV,HEV,테슬라,모델 Y,BYD,씰,그랜저
,374,남,35,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린,EV,테슬라,모델 3,기아,EV3,K7
,375,남,38,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,PHEV,,,,,벤츠220D
,376,남,29,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,가솔린 ,,,,,없음
,377,여,27,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),HEV,가솔린 ,,,,,없음
,378,남,34,아반떼,,기혼 유자녀(7세 이하),1,"사무직
(소방 재난본부)",_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,EV,테슬라,모델 3,기아,EV3,
,379,남,33,코나,가솔린,기혼 무자녀,_,사무직,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),EV,가솔린,현대,캐스퍼 일렉트릭,테슬라,모델 3,없음
,380,여,64,티볼리,가솔린,기혼(성인 자녀),2,전업주부,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,없음
,381,남,30,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,셀토스
,382,남,30,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,캐스퍼
,383,여,55,스포티지,가솔린,기혼(성인 자녀),1,서비스직,_,_,의향자 그룹,의향자 그룹 (5060세대 준중형 세단 의향),HEV,가솔린,,,,,에쿠스
,384,남,53,아반떼,가솔린,기혼 유자녀(8세~18세 이하),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),EV,가솔린,기아,EV3,현대 ,아이오닉5,없음
,385,남,26,아반떼,가솔린,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),HEV,EV,테슬라,모델 3,,,
,386,남,36,없음,_,기혼 무자녀,_,관리직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린,EV,테슬라,모델 3,현대 ,아이오닉,제네시스G70
,387,여,37,없음,_,미혼,_,K3,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린,HEV,,,,,K3
,388,남,35,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린 ,HEV,,,,,없음
,389,남,35,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),가솔린 ,HEV,,,,,없음
,390,여,26,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 준중형 세단 의향),가솔린 ,HEV,,,,,싼타페
,391,남,40,K5,LPG,기혼 유자녀(7세 이하),1,자영업,현대 ,아반떼,이탈자 그룹,이탈자 그룹 (준중형 세단 비교),디젤,HEV,,,,,스포티지
,392,남,38,없음,_,미혼,_,사무직,_,_,의향자 그룹,의향자 그룹 (2030세대 생애 첫차 소형 SUV 의향),EV,가솔린,현대 ,코나,테슬라,모델 ,없음
,393,남,49,아반떼,,기혼 유자녀(8세~18세 이하),2,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),가솔린,HEV,,,,,
,394,여,57,아반떼,,기혼(성인 자녀),2,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,
,395,남,30,아반떼,,미혼,_,영업직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,EV,테슬라,모델 3,현대,아이오닉6N,
,396,남,25,아반떼, HEV,미혼,_,사무직,_,_,보유자 그룹,보유자 그룹 (향후 준중형/중형 세단 의향),가솔린,HEV,,,,,없음
,397,여,40,아반떼,가솔린,기혼 유자녀(7세 이하),1,사무직,_,_,보유자 그룹,보유자 그룹 (향후 중소형 SUV 의향),HEV,가솔린,,,,,없음
,398,남,33,아반떼,가솔린,미혼,_,무직,_,_,보유자 그룹,보유자 그룹 (향후 준대형 세단 의향),가솔린,HEV,,,,,없음
