[응답자 특성],,,,,,,,,,,,,,,,
,,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,
,,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세
,전체,고객 타입,사용자*연령1,,사용자*연령2,,,,,,,,,,,
,,사용자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,,,,,,,,
Base for %,(150),(150),(79),(71),(30),(49),(48),(23),,,,,,,,
.00,59.3,59.3,62.0,56.3,56.7,65.3,43.8,82.6,,,,,,,,
1.00,28.0,28.0,25.3,31.0,30.0,22.4,41.7,8.7,,,,,,,,
2.00,7.3,7.3,5.1,9.9,6.7,4.1,12.5,4.3,,,,,,,,
3.00,2.0,2.0,2.5,1.4,3.3,2.0,2.1,,,,,,,,,
4.00,0.7,0.7,1.3,,,2.0,,,,,,,,,,
5.00,0.7,0.7,1.3,,3.3,,,,,,,,,,,
7.00,1.3,1.3,1.3,1.4,,2.0,,4.3,,,,,,,,
8.00,0.7,0.7,1.3,,,2.0,,,,,,,,,,
      계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
[평균:개],.69,.69,.73,.65,.70,.76,.73,.48,,,,,,,,
,,,,,,,,,,,,,,,,
A1. 현사용 브랜드 (MA) (중복응답),,,,,,,,,,,,,,,,
,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,,
,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세,
Base for %,(300),(150),(150),(79),(71),(30),(49),(48),(23),(75),(75),(27),(48),(48),(27),
◆매스 브랜드 NET◆,88.0,87.3,88.7,92.4,81.7,93.3,91.8,87.5,69.6,86.7,90.7,88.9,85.4,89.6,92.6,
